Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
SRR34737865	38349976	38349976	1638339	35538760	1172877	194958	1536663	1278108	71991	98.0	35995.5	768331.5	639054.0
SRR34737866	39791595	39791595	1687963	36882154	1221478	199411	1589232	1314139	73733	98.0	36866.5	794616.0	657069.5
SRR34737867	37947265	37947265	1655332	35190808	1101125	226344	1503465	1284431	70080	98.02	35040.0	751732.5	642215.5
SRR34737868	38581310	38581310	1799475	35642411	1139424	247947	1629385	1394861	78810	97.89	39405.0	814692.5	697430.5
SRR34737869	37381966	37381966	1740212	34482573	1159181	221463	1623521	1337039	76938	97.83	38469.0	811760.5	668519.5
SRR34737870	38142947	38142947	1819653	35160400	1162894	229744	1679803	1420033	79982	97.8	39991.0	839901.5	710016.5
SRR34737871	36597423	36597423	1698366	33810557	1088500	234247	1531324	1324816	72098	97.91	36049.0	765662.0	662408.0
SRR34737872	40280312	40280312	1707294	37370449	1202569	203061	1594877	1341811	71778	98.02	35889.0	797438.5	670905.5
SRR34737873	37437038	37437038	1658261	34624037	1154740	220491	1498320	1303226	73994	98.0	36997.0	749160.0	651613.0
SRR34737874	38388116	38388116	1740653	35449691	1197772	203918	1642496	1354181	76793	97.86	38396.5	821248.0	677090.5
SRR34737875	37373314	37373314	1841870	34423547	1107897	256520	1659254	1430922	80524	97.78	40262.0	829627.0	715461.0
SRR34737876	38539981	38539981	1853945	35505382	1180654	247266	1695164	1434963	83231	97.8	41615.5	847582.0	717481.5
