Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRR34737865	80899132	57461471	1536663	0	0	0	0	0	0	6616925	0	0	6446389	0	8837684	71.02853835316799
SRR34737866	83823225	59815512	1589232	0	0	0	0	0	0	6756724	0	0	6314947	0	9346810	71.35911556731442
SRR34737867	79626193	56911859	1503465	0	0	0	0	0	0	6003993	0	0	6481642	0	8725234	71.47379129377691
SRR34737868	81068013	56885324	1629385	0	0	0	0	0	0	6263051	0	0	7621819	0	8668434	70.1698757560519
SRR34737869	79027518	54871329	1623521	0	0	0	0	0	0	6658886	0	0	7547420	0	8326362	69.43319287846037
SRR34737870	80262292	56129580	1679803	0	0	0	0	0	0	6382168	0	0	7336301	0	8734440	69.93269018532389
SRR34737871	76958476	54492516	1531324	0	0	0	0	0	0	6012728	0	0	6479827	0	8442081	70.80768595261684
SRR34737872	84527670	60296462	1594877	0	0	0	0	0	0	6443962	0	0	6322346	0	9870023	71.33340124009096
SRR34737873	78929385	55773347	1498320	0	0	0	0	0	0	6438783	0	0	5991905	0	9227030	70.66233570678399
SRR34737874	81019233	56825767	1642496	0	0	0	0	0	0	6715338	0	0	6842400	0	8993232	70.13861387702843
SRR34737875	78499092	55247863	1659254	0	0	0	0	0	0	6048782	0	0	6936954	0	8606239	70.3802573920218
SRR34737876	81299853	57077161	1695164	0	0	0	0	0	0	6664430	0	0	7033275	0	8829823	70.20573702636338
