Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate
SRR34737865	71.02853835316799	57461471	80899132	79362469	98.1	98.0
SRR34737866	71.35911556731442	59815512	83823225	82233993	98.1	98.0
SRR34737867	71.47379129377691	56911859	79626193	78122728	98.11	98.02
SRR34737868	70.1698757560519	56885324	81068013	79438628	97.99	97.89
SRR34737869	69.43319287846037	54871329	79027518	77403997	97.95	97.83
SRR34737870	69.93269018532389	56129580	80262292	78582489	97.91	97.8
SRR34737871	70.80768595261684	54492516	76958476	75427152	98.01	97.91
SRR34737872	71.33340124009096	60296462	84527670	82932793	98.11	98.02
SRR34737873	70.66233570678399	55773347	78929385	77431065	98.1	98.0
SRR34737874	70.13861387702843	56825767	81019233	79376737	97.97	97.86
SRR34737875	70.3802573920218	55247863	78499092	76839838	97.89	97.78
SRR34737876	70.20573702636338	57077161	81299853	79604689	97.91	97.8
