Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
SRR34737865	80899132	0	4199180	0	0	0	0	0	79362469	0	98.1	nan	76699952	0	38349976	0	38349976	0	73423274	0	95.73	nan	74064656	0	1098633	0	1.43	nan	519882	0	495211	0	80899132
SRR34737866	83823225	0	4240035	0	0	0	0	0	82233993	0	98.1	nan	79583190	0	39791595	0	39791595	0	76207264	0	95.76	nan	76867070	0	1126888	0	1.42	nan	542246	0	517362	0	83823225
SRR34737867	79626193	0	3731663	0	0	0	0	0	78122728	0	98.11	nan	75894530	0	37947265	0	37947265	0	72583866	0	95.64	nan	73313160	0	1077905	0	1.42	nan	602266	0	576047	0	79626193
SRR34737868	81068013	0	3905393	0	0	0	0	0	79438628	0	97.99	nan	77162620	0	38581310	0	38581310	0	73563670	0	95.34	nan	74390812	0	1142423	0	1.48	nan	687506	0	657318	0	81068013
SRR34737869	79027518	0	4263586	0	0	0	0	0	77403997	0	97.95	nan	74763932	0	37381966	0	37381966	0	71283508	0	95.34	nan	72023182	0	1117229	0	1.49	nan	609476	0	581350	0	79027518
SRR34737870	80262292	0	3976398	0	0	0	0	0	78582489	0	97.91	nan	76285894	0	38142947	0	38142947	0	72646588	0	95.23	nan	73431528	0	1174563	0	1.54	nan	650964	0	621614	0	80262292
SRR34737871	76958476	0	3763630	0	0	0	0	0	75427152	0	98.01	nan	73194846	0	36597423	0	36597423	0	69798114	0	95.36	nan	70561660	0	1101862	0	1.51	nan	642822	0	615589	0	76958476
SRR34737872	84527670	0	3967046	0	0	0	0	0	82932793	0	98.11	nan	80560624	0	40280312	0	40280312	0	77146036	0	95.76	nan	77827250	0	1138497	0	1.41	nan	561848	0	537006	0	84527670
SRR34737873	78929385	0	4055309	0	0	0	0	0	77431065	0	98.1	nan	74874076	0	37437038	0	37437038	0	71557554	0	95.57	nan	72291722	0	1084034	0	1.45	nan	612112	0	584414	0	78929385
SRR34737874	81019233	0	4243001	0	0	0	0	0	79376737	0	97.97	nan	76776232	0	38388116	0	38388116	0	73294926	0	95.47	nan	73998788	0	1134948	0	1.48	nan	578210	0	551305	0	81019233
SRR34737875	78499092	0	3752464	0	0	0	0	0	76839838	0	97.89	nan	74746628	0	37373314	0	37373314	0	71062888	0	95.07	nan	71916914	0	1170460	0	1.57	nan	718312	0	687013	0	78499092
SRR34737876	81299853	0	4219891	0	0	0	0	0	79604689	0	97.91	nan	77079962	0	38539981	0	38539981	0	73372072	0	95.19	nan	74199700	0	1185098	0	1.54	nan	691792	0	660461	0	81299853
